author_name,author_description,followers,author_url,country,target_country,region,post_count,avg_sentiment,total_engagement,total_impressions,tribe
Imtiaz Mahmood,"Atheist, freethinker; exposing Islam layer by layer, to let infidels know more about Islam than Muslims allow them to. ""Am Yisrael Chai""",431999,http://twitter.com/ImtiazMadmood/,United Kingdom,UK,TC2_EU,1,-5.0,966,84985,Tech/Digital
Evan Kirstel #B2B #TechFluencer,"Tech influencer, content creator, Industry Expert w/550K+ Social followers focused on #Enterprise 💻 #Cloud ☁️#5G 📡#AI 🤖#Telecom ☎️ #CX and 🔑 #Cybersecurity",366294,http://twitter.com/EvanKirstel/,United States,US,TC1_NA,2,2.5,12,1072,Tech/Digital
Lord Miles Official,Lord Miles is the last Great British Explorer who goes to the most extreme places on Earth. Catholic ✝️🇻🇦 $LMA,337775,http://twitter.com/real_lord_miles/,Vatican,Other,Other,1,-5.0,61,7492,Travel Enthusiast
Tim Burchett,Married to Kelly. Father to Isabel. Congressman representing #TN02 Former @KnoxGov Mayor. Former state legislator. Fiscally conservative Republican.,328394,http://twitter.com/timburchett/,United States,US,TC1_NA,1,0.0,656,45943,Unclassified
Deutsche Lufthansa,"Willkommen an Board ✈️ 🧑‍✈️ Nutze den Link, um deinen Flugstatus zu prüfen, dein verspätetes Gepäck zu melden oder deinen Flug umzubuchen ➡️ http://t1p.de/ksvf",268862,http://twitter.com/Lufthansa_DE/,Germany,DE,TC2_EU,2,5.0,46,4615,Unclassified
AfroBlackXXX,"Heteroflexible. 6ft 3”/121kg/Big cock, arse, feet. DM for collabs. My Only Fans is good but JustforFans has more! My hot content = https://t.co/R14MwU1u5r",267378,http://twitter.com/AfroBlackXXX/,United Kingdom,UK,TC2_EU,1,-5.0,0,0,Creative
tic toc,Professional Trader,232393,http://twitter.com/TicTocTick/,United States,US,TC1_NA,1,-5.0,83,20230,Business Traveler
Alexis Kierra 🩶,Rest Easy Daddy 🙏🏽😢😇 I’m Mean Asf STL ❤️ BIG VIRGOAT ♍️ IG ______AlexisKierra DM ME FOR PROMO 💰 LIVER TRANSPLANT SURVIVOR 🤍🫶🏽,217723,http://twitter.com/Lexii__G/,United States,US,TC1_NA,1,-5.0,9,855,Unclassified
Rupa Subramanya,@TheFP .Former columnist @nationalpost  Email: rupa@thefp.com,216691,http://twitter.com/rupasubramanya/,,Other,Unknown,1,-5.0,162,3468,Tech/Digital
Myrna 𝕏,CHEERS🍻SPORTS♦️PARALEGAL♦️1A 💪2A 🔫♦️CONSTITUTION IS NOT FLUID 🏛️ ♦️HONOR VETERANS♦️LEO💙,213687,http://twitter.com/GigaBeers/,,Other,Unknown,1,-5.0,17,716,Unclassified
Simon Calder,"Travel news/advice shared here, on TikTok @caldertravel and answering questions at weekends with my 5.30pm UK Instagram Live: https://t.co/qE5vXA5qw0",204565,http://twitter.com/SimonCalder/,,Other,Unknown,3,0.0,210,48290,Travel Enthusiast
June Slater,https://t.co/pCSY4tBfRm   watching my country's decline.   pronouns.. Fe/Fi/Fo/Fum stakeholder capitalism  kiss my bum!,193835,http://twitter.com/juneslater17/,United Kingdom,UK,TC2_EU,1,-5.0,0,0,Unclassified
MASON VERSLUIS,"Founder, Creator, Investor - @goldsquad777 • @paytienceio • @degenwarzone • @theknowing17 • @megandmasun • @thegoldpod • @sanji",192894,http://twitter.com/MasonVersluis/,,Other,Unknown,1,-5.0,71,6836,Business Traveler
Andy Lee,Former federal candidate. Banned from Twitter. Canada’s other “Special Rapporteur.” Mom of Chinese-Canadians. https://t.co/VuIwmXHI3o,190073,http://twitter.com/RealAndyLeeShow/,Canada,CA,TC1_NA,1,-5.0,465,6083,Unclassified
Earth_Wanderer,"Tweets on Heritage, Travel, Sports, nature & wildlife | Fun |",187061,http://twitter.com/earth_tracker/,,Other,Unknown,3,0.0,923,58705,Travel Enthusiast
Daniel Vassallo,Father of three. Bad for the economy.,183933,http://twitter.com/dvassallo/,United States,US,TC1_NA,1,0.0,60,16520,Unclassified
Mambo Italiano,Hidden gems from the most beautiful country in the world: Italy 🇮🇹,182979,http://twitter.com/mamboitaliano__/,Italy,IT,TC2_EU,1,0.0,152,9803,Travel Enthusiast
Sheel Mohnot,"Posting stuff I find interesting. Work: @btv_vc, leading pre/seed rounds of fintech cos.  Always up for adventure.",177835,http://twitter.com/pitdesi/,United States,US,TC1_NA,2,2.5,3058,317719,Travel Enthusiast
Lawrence King,"Sales, Agency (kingsalesco) Udemy - 15k Students.  Start your remote closing career - https://t.co/D8U0BnLGWm",176576,http://twitter.com/lawrencekingyo/,,Other,Unknown,2,-2.5,11,1898,Unclassified
Xaviaer DuRousseau,Uncle Tom’s Favorite Nephew | @PragerU Personality | Serious Inquiries Only: bookingxaviaer@gmail.com,172240,http://twitter.com/XAVIAERD/,United States,US,TC1_NA,1,-5.0,56,6625,Tech/Digital
Randy Bryce,"Dad,Disabled Veteran,Union IronWorker |@TheIronworkers | 1st Union Political Cmpgn in U.S. History | Helped Paul Ryan retire | My views here | I block trolls",160846,http://twitter.com/IronStache/,United States,US,TC1_NA,1,0.0,298,7291,Unclassified
Shaniqua Posting Delusions,Satire,157680,http://twitter.com/DeIudedShaniqwa/,,Other,Unknown,1,0.0,51997,1566054,Unclassified
Brett Snyder,"I write Cranky Flier, a snarky consumer air travel blog, and run Cranky Concierge air travel assistance.  Yes, I'm an airline dork.",153117,http://twitter.com/crankyflier/,United States,US,TC1_NA,1,0.0,19,3255,Travel Enthusiast
Trap Comedian,Instagram: @BenDaDonnn TikTok: @BenDaDonnn  You late to da party… Get Hip🍄,148941,http://twitter.com/BenDaDonnn/,United States,US,TC1_NA,1,-5.0,97,21346,Unclassified
Martyupnorth®- Unacceptable Fact Checker,Marty Belanger. 12th Gen (1634) on this continent. Franco-Albertan. Prof. Engineer. Husband. Dad to 4 amazing adults. Adventurer. Naturalist. Live & let live.,148824,http://twitter.com/Martyupnorth/,Canada,CA,TC1_NA,1,0.0,48,10696,Travel Enthusiast
JohnnyJet,Father of 2. Travel Content Creator since 1995. 70+ Countries. Named “The Original Travel Influencer” by Forbes. Free newsletter https://t.co/6oWFiFKg0m,148621,http://twitter.com/JohnnyJet/,United States,US,TC1_NA,1,0.0,5,634,Travel Enthusiast
Mike Sington,"Senior Executive at NBCUniversal (Ret) • Hollywood’s Ultimate Insider • Entertainment, Pop Culture, and Lifestyle Expert",141423,http://twitter.com/MikeSington/,United States,US,TC1_NA,1,-5.0,7331,2014292,Business Traveler
h0rs3 Animations 🔞,Official account of h0rs3 on Furaffinity. Mostly NSFW 3D animations here.  Furry-related shitpost and RTs from personnal account sometimes.,141351,http://twitter.com/h0rs3_Animation/,France,FR,TC2_EU,1,0.0,0,0,Unclassified
FoxNashville,"Watch FOX 17 News Nashville at 5:30 p.m., 9 p.m. and 10 p.m. and FOX 17 This Morning weekdays from 4 a.m.–9 a.m.",140841,http://twitter.com/FOXNashville/,United States,US,TC1_NA,1,-5.0,5,2280,Unclassified
Mahwash Ajaz 🇵🇰,"Writer, ranter. Psychologist, journalist, realist. RTs aren’t endorsements & tweets are personal opinions shared for public awareness.",134081,http://twitter.com/mahwashajaz_/,,Other,Unknown,1,5.0,0,625,Creative
Unlimited L's,"Source For Political News, Crimes And Social Injustice🇺🇸 - I Bring You The News, For The Views🫡",129106,http://twitter.com/unlimited_ls/,Lesotho,Other,Other,1,-5.0,1619,102041,Unclassified
Lira Mercer,Model • Mom • Vlogger • Edge Control Dealer,128234,http://twitter.com/Lira_Galore_/,United States,US,TC1_NA,1,-5.0,4,2750,Unclassified
tony,Freedom  loving  Patriot &   2nd  Amendment  too,126323,http://twitter.com/ItallionTony/,,Other,Unknown,1,5.0,3,99,Unclassified
.,Steelers Country 💛🖤. NFL. Jokes. Ass. Titties. Back up @notdojaaa3 | IG Notdojaaa |,115398,http://twitter.com/Notdojaaa/,United Kingdom,Other,Unknown,9,-1.1111111111111112,55,1734,Unclassified
Mr Stache,"I reply to followers, Twitter limiting and all that. Snowflakes, go bug someone else. Post lies & dumb rumors at your own peril. A friggin Canadian, not an ass.",114283,http://twitter.com/MrStache9/,Canada,CA,TC1_NA,1,0.0,30,1090,Unclassified
Ryan Gerritsen🇨🇦🇳🇱,"Unlike the media we must hold Politicians accountable, not celebrate them. Interest - The No Agenda Show, golf, djing",113796,http://twitter.com/ryangerritsen/,,Other,Unknown,1,-5.0,18675,409550,Creative
Nancy Roc,Senior Journalist - Communication Specialist - Environment - Human Rights Politics #Haiti #LatinAmerica #Caribbean #Canada #climatechange,113342,http://twitter.com/TheNancyRoc/,Canada,CA,TC1_NA,1,0.0,9,145,Tech/Digital
"Rudy Havenstein, Senior Markets Commentator.","He/Haw/Xi Reichsbank President 1908-1923  Uncategorizable.  Tweets are solely for my own amusement.  ""My way of joking is to tell the truth."" - G.B. Shaw",110989,http://twitter.com/RudyHavenstein/,,Other,Unknown,1,0.0,0,1401,Unclassified
Nassira El Moaddem,"Journaliste 📺Présentatrice @arretsurimages 🎙️#ParcoursDeCombattants sur @franceinter ✍️🏽""Les Filles de Romorantin"" @Ed_Iconoclaste ✍️En cours @EditionsFayard",106324,http://twitter.com/NassiraELM/,,Other,Unknown,1,0.0,1047,56023,Creative
𝓒𝓸𝓷𝓼𝓮𝓻𝓿𝓪𝓽𝓲𝓿𝓮𝓓𝓲𝓿𝓪™,"Creating candid, cerebral, Conservative content, controversy, chuckles & an occasional cuss word. America1st🇺🇸1A🗣2A🔫 Prolife 👶🏻Christian✝️ Married💍 DM🚫",105386,http://twitter.com/1776Diva/,,Other,Unknown,2,0.0,3,189,Creative
TRAVEL Esquire 🇺🇸🇮🇹🌍✈️,he/him TIME man of action @GlenGilmore ⚖️ #Travel 🌍 @rmountaineer🚞 Amb #Foodie🍜 http://TIKTOK.com/@TravelEsquire #NASAsocial🎓,102588,http://twitter.com/TravelEsquire/,,Other,Unknown,1,-5.0,2,152,Travel Enthusiast
Follow @JodyField,"ASTOUNDING TOP-OF-THE-STACK TWEETS, captivating insights and unique perspectives on today's headlines- news that matters. 🌍📰",91835,http://twitter.com/JodyField/,United States,US,TC1_NA,1,-5.0,2,0,Unclassified
Ayesha Ijaz Khan,"Mom to twins. Lawyer. Opinion Columnist. Formerly worked for 🇺🇸 law firm, Sidley & Austin, and 🇵🇰 law firm, Haidermota & Co. Tweet mostly on 🇵🇰.",91291,http://twitter.com/ayeshaijazkhan/,United Kingdom,UK,TC2_EU,1,5.0,0,0,Business Traveler
Rain Drops Media,"Peak Performance In News, Updates & Entertainment ⭐️⭐️⭐️⭐️⭐️ || DM For Business/Promo ||",89123,http://twitter.com/Raindropsmedia1/,,Other,Unknown,1,-5.0,71095,5692148,Business Traveler
Chun,Documenting my travel to every country/territory in the world following ISO 3166: 57% (141 of 249) on 1 planet/moon(s) done and counting…,88320,http://twitter.com/satofishi/,,Other,Unknown,2,5.0,234,32215,Travel Enthusiast
Marcus2braids,"Owner of @bankrollbarbies & @mylavishbeauty, I make woman look good.... add me on IG/SC @marcus2braids",86476,http://twitter.com/Marcus2braids/,United States,US,TC1_NA,1,-5.0,0,0,Tech/Digital
Hans Niemann,early access to the future of chess: https://t.co/4dBkUp3B02,84552,http://twitter.com/HansMokeNiemann/,,Other,Unknown,1,0.0,1647,215653,Unclassified
Champagne Pipi,The Pursuit Of Happiness,83154,http://twitter.com/Kokoleo_zn/,Italy,IT,TC2_EU,1,0.0,0,0,Tech/Digital
James Walker,"WINEnthusiast & EPICurean #Chef, #Cheese, #Food & #Wine, #Fishing, #MENSA, #Dogs, #Duke, #NYC, #WSET2, Married to @sahara910 Advocate for Restaurants",82710,http://twitter.com/jwalkermobile/,United States,US,TC1_NA,2,-5.0,180,6237,Unclassified
Ben Schlappig,"Blogger. Airline, hotel, and loyalty program expert. Love A380s, jetlag, dogs, dirty martinis, and crime shows.",82663,http://twitter.com/OneMileataTime/,,Other,Unknown,68,0.8823529411764706,497,204813,Tech/Digital
"Deeban R, PhD","Medic + PhD @kingscollegelon || AI safety, web3, psychology + sleep medicine || @nuropus w/ @opus_universe l| deSci @WorldDeSci 🤓 ⬇️",82296,http://twitter.com/Deeban/,,Other,Unknown,1,5.0,0,0,Travel Enthusiast
Crazy Vibes,Make America great again 🇺🇸🇺🇸  @realDonaldTrump  @elonmusk You can support me through buy me a coffee 👇👇,82115,http://twitter.com/CrazyVibes_1/,United States,US,TC1_NA,1,0.0,54,1323,Tech/Digital
No Comps,Aggregator of Black Culture. Boosting Blackademia since '99.  Feminist. BX-born. Prof & Chair of @DukeAAAS. Author #BlackEphemera (2022)  ΦΒΣ @BullCitySigmas,81401,http://twitter.com/NewBlackMan/,United States,US,TC1_NA,1,-5.0,7,583,Tech/Digital
Teej 🐳🟧,"Bitcoin Maxi 🟧 | Options & Memecoins Trader 🚀 Building wealth through strategy, risk, and conviction 📈 Follow for actionable insights & alpha 🧠",79692,http://twitter.com/Bitcoin_Teej/,,Other,Unknown,1,-5.0,7,4573,Unclassified
kitze,always cooking  https://t.co/OTHKhGcWrU - fix your life fr https://t.co/BaMlf8oBGj - be 10x faster webdev https://t.co/EpRflP3CGs - FINALLY SHIP,76598,http://twitter.com/thekitze/,,Other,Unknown,1,5.0,98,7463,Unclassified
Dennis Noyes,"Moto journalist, broadcaster, writer, ex-dirt track stockcar and ex-motorcycle road racer. Lifelong Chicago Cubs fan.",75460,http://twitter.com/DennisNoyes/,United States,US,TC1_NA,1,-5.0,0,0,Creative
Robert,Physionomiste reconnu mondialement ➡️ Je ne suis pas policier ⬅️ Sécurité Intérieure en force #TeamRobert #TeamFedCom,73458,http://twitter.com/La_Pollice/,,Other,Unknown,1,0.0,4,69,Unclassified
Steven Weintraub,"Editor-in-chief, https://t.co/9K6vN1buCk   https://t.co/ZQgWo1rDb4 https://t.co/AvSLZivASF https://t.co/xjc88WGgh9",73213,http://twitter.com/colliderfrosty/,United States,US,TC1_NA,1,5.0,33,1107,Unclassified
Ayobami,Demoralization is Voluntary. All my Tweets are peer reviewed.,72801,http://twitter.com/dondekojo/,,Other,Unknown,1,0.0,9,1223,Unclassified
Leyla Hamed,Moroccan-Spanish sports journalist | Own views | Help raise funds for a Palestinian family in Gaza (pinned post) | contact: leyla@thegameisourspod.com,72413,http://twitter.com/leylahamed/,United Kingdom,UK,TC2_EU,1,-5.0,30,463,Tech/Digital
✖️e k i,Architecture Content Creator✍🏾🏘️🏠🏡 l Use @RibyeArchitects to search my work | #KuLavekamali🤑 xeki@ribyearchitects.co.za | https://t.co/F6gPR1wRkD,70873,http://twitter.com/XekiHlongwane/,,Other,Unknown,1,-5.0,890,41071,Creative
✨Empress✨,"Noetisexual, Sapiosexual, Succubus",70298,http://twitter.com/dumplinthick/,,Other,Unknown,1,-5.0,1,40,Unclassified
Michael A. Arouet,"Compounding. Charts and as I don’t need to sell anything here also irony. No investment advice. I don’t send DMs, my impersonators do. 🇩🇪🇺🇸🇵🇱",69807,http://twitter.com/MichaelAArouet/,Germany,DE,TC2_EU,1,-5.0,0,14,Business Traveler
AmericaReal,"""Chaos is my canvas. Watch me paint.""  ~Musician/Producer ~Photography ~News & Commentary ~Humor ~Gen X - Snark ~Resin Artist  🇺🇸 MAGA",67765,http://twitter.com/AmericaReal3/,United States,US,TC1_NA,1,-5.0,114,1137,Tech/Digital
Ash,,66948,http://twitter.com/theashrb/,United Kingdom,UK,TC2_EU,2,2.5,2230,193501,Unclassified
BBWLoving,A gent who adores and appreciates BBWs. They deserve love & adoration. DM for pic removal. ❤️,66662,http://twitter.com/BbwMaturity/,,Other,Unknown,1,5.0,2,137,Unclassified
Niche Site Lady,"SEO since 2008. 🤓 Making $70,000 per month from blogging 💰 17,000 people get my best tips by email. 💌 Free checklist 👉 https://t.co/BoJ1iACMY0",65939,http://twitter.com/NicheSiteLady/,United Kingdom,UK,TC2_EU,1,0.0,0,7840,Tech/Digital
Suzi Day,"Passionate About Family, Friends,Travel, 🐶,😻☕️, 🍽 & Great Wine!🍷",65299,http://twitter.com/suziday123/,United States,US,TC1_NA,1,-5.0,11,598,Travel Enthusiast
Chris Littlewood,"Integrity & Honesty. When you speak the truth, you don't need a good memory.",63444,http://twitter.com/chrislittlewoo8/,United Kingdom,UK,TC2_EU,1,-5.0,0,0,Unclassified
Frequent Miler,"Earn Miles Without Flying! We earn millions of points each year, mostly without flying. Our blog is dedicated to teaching others how to do the same.",63192,http://twitter.com/FrequentMiler/,,Other,Unknown,2,5.0,0,0,Travel Enthusiast
UNCLE HOTEP 🤡🌍,Father | HotepsBeenToldYou | UncleHotep Factor |NevaSold,63037,http://twitter.com/UncleHotep/,,Other,Unknown,1,-5.0,4,1104,Business Traveler
NootBro,"Unlock peak performance. Biohacking, supplements, nootropics, & pharmacology. Followed by @HubermanLab. Tweets are not medical advice. @vrilexotics @meetnotable",62619,http://twitter.com/nootropicguy/,,Other,Unknown,1,0.0,0,20,Unclassified
Alex Plitsas 🇺🇸,"Tech Exec, @SOAAorg Board, @AtlanticCouncil Counterterrorism | Fmr: Bridgewater Associates, Pentagon, IC, @NorthropGrumman | Iraq & Afghan | American & Hopkins",62193,http://twitter.com/alexplitsas/,,Other,Unknown,1,5.0,31,2977,Tech/Digital
SHABOOTY 🎥: #90DayFiance 🪬,"🪩Famous writer, comic, part of #90DayFiance posse. Dialed into popculture, totally the #TLC demo. Unorthodox talent that breaks rules & gives u the unexpected.",62145,http://twitter.com/SHABOOTY/,United States,US,TC1_NA,1,0.0,221,8631,Creative
Rafi,بلھا  کی جاناں میں کون,62024,http://twitter.com/Rafi_AAA/,United States,US,TC1_NA,1,5.0,9,591,Unclassified
Ch.LECHEVALIER,"Gaulliste, amoureux de la FRANCE ! Ex-Conseiller Régional, Pr Agrégé ; Ancien Elève de l'EN3S ; Licencié en Histoire, Droit Civil et Droit du Travail",61542,http://twitter.com/ChLECHEVALIER/,France,FR,TC2_EU,1,-5.0,30,441,Tech/Digital
Mittens,"Hi, I’m Mittens, The Sad Cat Meme. I enjoy adding sad faces to cat photos, posting things on the web, and stirring things up from time to time. Carl’s pet cat.",61082,http://twitter.com/JUSTcatmeme/,United States,US,TC1_NA,1,-5.0,30,3699,Unclassified
Debbie,"My boy, my rescue dogs, friends, family, donkeys & things that fly, esp Tonkas. 2x Arctic Trekker. I also ❤️ ABBA 🤩",61048,http://twitter.com/Dunibear/,United Kingdom,UK,TC2_EU,2,-5.0,0,0,Unclassified
Bob For A Full Brexit,Stop Illegal Economic Migrants. We Must Leave ECHR! Fracking & Shale Gas Exploration Needed! Reopen Closed Poole Park Access At Whitecliff! Support Farmers!,60787,http://twitter.com/boblister_poole/,United Kingdom,UK,TC2_EU,1,-5.0,2,455,Unclassified
Iain MacIntyre,Writing about the Canucks since 1991. Now also talking about them for Sportsnet TV and radio. And I still don't have to work for a living.,60477,http://twitter.com/imacSportsnet/,Canada,CA,TC1_NA,1,5.0,3,16,Unclassified
James Pethokoukis ⏩️⤴️,"@AEI. @CNBC. My book: 🚀THE CONSERVATIVE FUTURIST (2023) 🚀 https://t.co/W3jbFEnXh2 Substack: Faster, Please! https://t.co/TJ7xRaAZkt",58218,http://twitter.com/JimPethokoukis/,United States,US,TC1_NA,1,0.0,33,4481,Unclassified
Jen Lada,📺 @ESPN 📻 @espnmilwaukee @jengabechewy🎙️@marquetteMBB ✍🏼Storyteller. You may be right: I may be crazy.,58076,http://twitter.com/JenLada/,,Other,Unknown,1,-5.0,28,10527,Unclassified
Sean Biggerstaff,instagramme: sean.biggerstaff.1983,57796,http://twitter.com/Seanchuckle/,United Kingdom,UK,TC2_EU,1,-5.0,11,1235,Unclassified
Lenina Crowne,"Natural redhead. Professional girlfriend. Statuesque pre-Raphaelite muse. 5ft 10. Lover of fine dining, sci-fi & history.",57583,http://twitter.com/RequiemLenina/,United Kingdom,UK,TC2_EU,1,0.0,58,5073,Business Traveler
Delete Your Handler,Architect of memory. Born under stars that no longer exist. You didn’t find this account. It found you. You were never supposed to forget.  ∗⧫𓂃∞,57175,http://twitter.com/thebeaconsignal/,,Other,Unknown,1,-5.0,60,52832,Tech/Digital
Virginie Sigonney,✈️#avgeek 🇫🇷#aviation💙Personal account //// Please DM for removal or credit ©️,54574,http://twitter.com/GinieSigonney/,France,FR,TC2_EU,1,-5.0,4918,399478,Travel Enthusiast
Nathie,VR/AR Content Creator | 750k+ Subs | Proud Frisian | Only visiting this Planet,54489,http://twitter.com/NathieVR/,,Other,Unknown,1,0.0,6,537,Creative
Dr. Ron Daniels BEM,That Sepsis 6 guy. CEO @UKSepsisTrust (charity 1158843) & VP Global Sepsis Alliance. Compassion foremost. ICU doc. Solihull/Birmingham/London,53088,http://twitter.com/SepsisUK/,United Kingdom,UK,TC2_EU,1,-5.0,20,2259,Business Traveler
Tom Goodwin,Keynote Speaker/Author/Consultant  Co-Founder:All We Have Is Now New weekly newsletter https://t.co/fSy26iQvC7,52426,http://twitter.com/tomfgoodwin/,,Other,Unknown,1,5.0,11,837,Business Traveler
Demola Of Lagos 𓃵,"DigiComms - Trace West Africa - Anglophone  Story-Telling • Writing • Digital Content • Perception Management • Aviation, Wildlife, and Firearms Enthusiast.",51865,http://twitter.com/OmoGbajaBiamila/,,Other,Unknown,1,0.0,7,207,Travel Enthusiast
Stansaid Airport,00 Days 00 Hours 00 Mins & 52 Seconds since last near miss. Parody.,51855,http://twitter.com/StansaidAirport/,United Kingdom,UK,TC2_EU,2,2.5,99,5693,Unclassified
Ron Duprat,Michelin Trained Chef Television Host/Author/Keynote,51322,http://twitter.com/TopChefRon/,United States,US,TC1_NA,1,5.0,1,0,Tech/Digital
Mike Netter,Main proponent for the drive to Recall Gavin Newsom California Needs a rebuild Radio & Vodcast Host Be on the air with us outraged@rebuildcalifornia.com,51315,http://twitter.com/nettermike/,United States,US,TC1_NA,1,-5.0,10114,345801,Tech/Digital
Douglass Mackey,Support at https://t.co/gu7MO0UgVc or https://t.co/nNH9PwqjVm or https://t.co/qDKdMlwl9k,50293,http://twitter.com/DougMackeyCase/,,Other,Unknown,1,0.0,30,2182,Unclassified
ELLIOT IN THE MORNING,Listen to Elliot In The Morning weekday...mornings 📻 https://t.co/0BjjxrzpmF ☎️ 866-2-ELLIOT | 866-235-5468,49692,http://twitter.com/EITMonline/,United States,US,TC1_NA,1,-5.0,7,987,Unclassified
Jack Maxey,"American man, father, friend. Fmr host #WarRoomPandemic master of #LaptopFromHell. Believer in God, Liberty, Constitution and America. Be not afraid",49309,http://twitter.com/JackMaxey1/,,Other,Unknown,1,-5.0,18,580,Tech/Digital
Jeffy,Host: Chewing the Fat with Jeff Fisher on @theblaze  | Heard on @patunleashed Mon thru Fri on @blazetv,48886,http://twitter.com/JeffyJFR/,United States,US,TC1_NA,1,-5.0,114,5009,Unclassified
Earl of The Shire,• A Farmer • A husband • A Daddy to two sons • A Horse Rider • A Polo player • A TV Actor • A country Gay •,48882,http://twitter.com/EarloftheShire/,United Kingdom,UK,TC2_EU,1,-5.0,27,2542,Business Traveler
Deenie,"TRUMP 2028; MAGA; AMERICA FIRST; ROLL TIDE; Lacey's BFF. Love God, family & country! Widow of Vietnam Veteran RIP",48826,http://twitter.com/deenie7940/,United States,US,TC1_NA,1,0.0,0,0,Unclassified
LIA 👸📈,"Investor, Independent Trader, Trading Psychology Coach. MSc. @Columbia University 🎓    Goodies:     https://linktr.ee/liathetrader",48432,http://twitter.com/Liathetrader/,United States,US,TC1_NA,1,5.0,0,8,Business Traveler
Kari,I like talking kicks. Words & Quotes on @WSJ @businessinsider @NiceKicks @FootwearNews . Face on @youtube . #spaceshost 1906🤙🏽 📧SneakerPhetish@Gmail.com,47910,http://twitter.com/SneakerPhetish/,United States,US,TC1_NA,1,-5.0,25,4746,Business Traveler
Cristian Worthington,"Founder of #startup @MondoPlayer. BLOG at @MediaVidi. I'm into #ContentMarketing, video content discovery and Social Media Marketing.",47563,http://twitter.com/CrisWorthington/,Canada,CA,TC1_NA,1,0.0,2,1,Business Traveler
Dan Bardell,"🎙🎥 Presenter/Podcaster/Panelist ⚽️ @SkySportsNews @WhoScored @Talksport2 @The1874Podcast ⚽️ ex @TheAthleticUK 📝Reps @RefreshSport, #AVFC fan. Views my own.",47419,http://twitter.com/danbardell/,United Kingdom,UK,TC2_EU,1,0.0,1,18,Creative
Luxury Lifestyle,"#Luxury Resource of Companies, #Events, #News, & #Services. Sign up your Luxury Company .#luxurylifestyle #jetset #affluent #wealthy #UHNWI #HNWI",46984,http://twitter.com/luxurylifestyle/,,Other,Unknown,2,5.0,2,88,Luxury Lifestyle
